artifactToMarkAssignmentId,uuid,uri
158,['a871a595-f96d-4505-8ba3-10636d010837'],https://ngk.wisski.cloud/contents/67b641937844f
159,['e6e0f915-72b7-48db-bdb4-fbb455048ca1'],https://ngk.wisski.cloud/contents/67b64193b6280
160,['e6e0f915-72b7-48db-bdb4-fbb455048ca1'],https://ngk.wisski.cloud/contents/67b64193ef710
161,['9eed46ed-036a-44e5-9138-83f50ed25c48'],https://ngk.wisski.cloud/contents/67b6419436e0e
162,['9eed46ed-036a-44e5-9138-83f50ed25c48'],https://ngk.wisski.cloud/contents/67b64194801f9
163,['deb56726-046d-40c7-8eb4-e51d54d793b6'],https://ngk.wisski.cloud/contents/67b64194ba754
164,['deb56726-046d-40c7-8eb4-e51d54d793b6'],https://ngk.wisski.cloud/contents/67b6419506f1f
165,['283490ed-f6de-4e74-ad2d-dc608baad525'],https://ngk.wisski.cloud/contents/67b6419544056
166,['283490ed-f6de-4e74-ad2d-dc608baad525'],https://ngk.wisski.cloud/contents/67b6419585b27
167,['438f1a0d-dd61-49b4-a5ba-8b5dd092d638'],https://ngk.wisski.cloud/contents/67b64195c20be
168,['438f1a0d-dd61-49b4-a5ba-8b5dd092d638'],https://ngk.wisski.cloud/contents/67b641960bac9
169,['af5eeb02-7ded-49d9-8853-2d72efd7b941'],https://ngk.wisski.cloud/contents/67b64196451f0
170,['af5eeb02-7ded-49d9-8853-2d72efd7b941'],https://ngk.wisski.cloud/contents/67b6419680ff2
171,['6a694288-e338-40ed-8a4f-cce7e6e6607c'],https://ngk.wisski.cloud/contents/67b64196befcd
172,['6a694288-e338-40ed-8a4f-cce7e6e6607c'],https://ngk.wisski.cloud/contents/67b64197047e3
173,['09ad3c10-d8ab-484d-a75d-b71c2abbde06'],https://ngk.wisski.cloud/contents/67b64197441ea
174,['09ad3c10-d8ab-484d-a75d-b71c2abbde06'],https://ngk.wisski.cloud/contents/67b64197890d7
175,['eebb30a6-450b-4f5c-9171-cb56753634ed'],https://ngk.wisski.cloud/contents/67b64197cc1e3
176,['eebb30a6-450b-4f5c-9171-cb56753634ed'],https://ngk.wisski.cloud/contents/67b6419816001
177,['0801441f-0b78-4413-9307-a58a7a38a543'],https://ngk.wisski.cloud/contents/67b64198447ea
178,['0801441f-0b78-4413-9307-a58a7a38a543'],https://ngk.wisski.cloud/contents/67b6419876554
179,['97db791b-53d1-4ea8-bc3c-88bb4fe85938'],https://ngk.wisski.cloud/contents/67b64198a1a83
180,['97db791b-53d1-4ea8-bc3c-88bb4fe85938'],https://ngk.wisski.cloud/contents/67b64198d18fe
181,['97db791b-53d1-4ea8-bc3c-88bb4fe85938'],https://ngk.wisski.cloud/contents/67b641990e177
182,['aa1e525b-6b58-4530-95d7-c7f6b41b9694'],https://ngk.wisski.cloud/contents/67b641993facd
183,['aa1e525b-6b58-4530-95d7-c7f6b41b9694'],https://ngk.wisski.cloud/contents/67b6419971120
184,['b24e855f-d63a-4c67-a845-9393b3620724'],https://ngk.wisski.cloud/contents/67b641999d263
185,['b24e855f-d63a-4c67-a845-9393b3620724'],https://ngk.wisski.cloud/contents/67b64199c9a01
186,['ed1d6083-6c2f-47d1-a676-a66a6a68a39a'],https://ngk.wisski.cloud/contents/67b6419a0673f
187,['ed1d6083-6c2f-47d1-a676-a66a6a68a39a'],https://ngk.wisski.cloud/contents/67b6419a36236
188,['88ac8eef-0295-403a-a4a4-eb224e5e32ba'],https://ngk.wisski.cloud/contents/67b6419a6204b
189,['88ac8eef-0295-403a-a4a4-eb224e5e32ba'],https://ngk.wisski.cloud/contents/67b6419a8d363
190,['c17612b4-915a-4afb-ba5d-93dc76a723a6'],https://ngk.wisski.cloud/contents/67b6419abc0cd
191,['c17612b4-915a-4afb-ba5d-93dc76a723a6'],https://ngk.wisski.cloud/contents/67b6419af15a3
192,['74a422b3-e639-41c8-9cb2-74b8cbe1843e'],https://ngk.wisski.cloud/contents/67b6419b36e81
193,['74a422b3-e639-41c8-9cb2-74b8cbe1843e'],https://ngk.wisski.cloud/contents/67b6419b66ca9
194,['85f244c5-241d-4e93-a039-558eb8d44cd5'],https://ngk.wisski.cloud/contents/67b6419b956a8
195,['85f244c5-241d-4e93-a039-558eb8d44cd5'],https://ngk.wisski.cloud/contents/67b6419bca549
196,['a131b0c2-b90c-41a6-8854-f1232c48c9d8'],https://ngk.wisski.cloud/contents/67b6419c10954
197,['a131b0c2-b90c-41a6-8854-f1232c48c9d8'],https://ngk.wisski.cloud/contents/67b6419c40b14
198,['ee247a0b-07bd-412a-ac4e-4a109482fdb7'],https://ngk.wisski.cloud/contents/67b6419c756d7
199,['ee247a0b-07bd-412a-ac4e-4a109482fdb7'],https://ngk.wisski.cloud/contents/67b6419ca9ea9
200,['2a9e0e6c-7edd-47f8-907f-c2d1c12ebf29'],https://ngk.wisski.cloud/contents/67b6419cde783
201,['2a9e0e6c-7edd-47f8-907f-c2d1c12ebf29'],https://ngk.wisski.cloud/contents/67b6419d20209
202,['2bb8bb4f-e6fa-4be4-95ca-9b822e185327'],https://ngk.wisski.cloud/contents/67b6419d4e5ee
203,['4481024a-4dd5-4208-9532-c9bdea2b6231'],https://ngk.wisski.cloud/contents/67b6419d7c51f
204,['4481024a-4dd5-4208-9532-c9bdea2b6231'],https://ngk.wisski.cloud/contents/67b6419db610e
205,['f89e4036-aec4-4aa8-ad38-6c17c99195f4'],https://ngk.wisski.cloud/contents/67b6419debc30
206,['f89e4036-aec4-4aa8-ad38-6c17c99195f4'],https://ngk.wisski.cloud/contents/67b6419e2d269
207,['3bc22b68-1510-45df-b9c0-df21f676ea38'],https://ngk.wisski.cloud/contents/67b6419e63b29
208,['3bc22b68-1510-45df-b9c0-df21f676ea38'],https://ngk.wisski.cloud/contents/67b6419e99c9c
209,['ea63c61f-c66d-42cc-838e-f20651d96be4'],https://ngk.wisski.cloud/contents/67b6419ed2ceb
210,['ea63c61f-c66d-42cc-838e-f20651d96be4'],https://ngk.wisski.cloud/contents/67b6419f0fde8
211,['22a5e620-f9db-441d-9c84-8b2952ed417d'],https://ngk.wisski.cloud/contents/67b6419f3ed2e
